Timestamp	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	
2024-02-14 16:57:29	1716.461	21093732170.0	569383.6638123333	157645.9570075302	55249.51545909431	3866.779693635513	14995.47808812251
2024-02-14 16:57:34	1716.591	21098107522.0	569666.5923856674	147488.3130166844	55037.58940406192	6590.369990204012	16311.47287223555
2024-02-14 16:57:40	1716.431333333333	21091533412.0	569119.0466182218	144099.3067791126	55046.38346876619	7022.405982602291	16136.93547805321
2024-02-14 16:57:45	1715.977	21082613118.0	569191.7884709998	137786.2393114753	55296.1584501338	3901.065207155674	14968.08327358177
2024-02-14 16:57:51	1715.897	21075230594.0	568235.9177243337	155167.6643030263	55377.64909076998	5439.722170983125	14935.45472288343
2024-02-14 16:57:56	1716.271166666667	21084901067.0	568563.460301972	156737.8656328179	55398.97642580874	4723.420781514711	14835.23049143695
2024-02-14 16:58:02	1716.354	21088625236.0	568899.8193506668	141964.2120643122	55171.06244395937	7308.162729110056	15561.08899350822
2024-02-14 16:58:08	1716.551333333333	21093527686.0	569039.467698222	136456.798856526	54832.15356938972	4179.582278101338	16034.1809117235
2024-02-14 16:58:13	1716.576333333333	21094064330.0	569043.0801732219	145876.712053666	55189.92891517417	7683.247105393219	15351.95101982754
2024-02-14 16:58:19	1715.591166666667	21075122309.0	569267.3336886396	161308.9536021274	54892.12321493865	5187.054311564671	16250.38562453551
2024-02-14 16:58:24	1715.94	21078760164.0	568676.6104000001	154971.6521431609	55077.63033520524	7785.52735902179	15521.82040364457
2024-02-14 16:58:30	1716.18	21087391544.0	569291.464933333	161442.8433856229	55211.56413546488	4339.485027219435	15336.78625670255
2024-02-14 16:58:35	1716.7985	21095550593.0	568528.0092310831	164600.3833528136	54863.12275546561	3673.253942334293	16350.16630824057
2024-02-14 16:58:41	1716.698	21094817224.0	568750.8474626667	162404.3111461437	54845.15394777886	4504.535615055544	16369.85708436989
2024-02-14 16:58:46	1716.474666666667	21093697700.0	569331.0020248885	136279.1640874073	54872.08642420875	4055.087852605559	15956.02138566269
2024-02-14 16:58:52	1715.654833333333	21067647765.0	567803.1203599726	140436.1970369452	55199.29563930674	7292.654958386021	15307.15123449908
2024-02-14 16:58:58	1716.163666666667	21076521052.0	567535.7778798891	145363.7648890839	54964.81628933492	6902.816403318103	16198.14519426288
2024-02-14 16:59:03	1715.851666666667	21072619378.0	567956.2876638887	147995.1960179363	55077.17572430744	7023.287430296053	15998.1260243928
2024-02-14 16:59:09	1716.292166666667	21079972773.0	567669.994138639	155811.9029059755	55367.53133384847	5155.871397975332	14883.24468309276
2024-02-14 16:59:14	1715.383	21062768480.0	567922.5766443335	157346.1578553657	55326.88081088083	4016.454257775778	14802.67831390066
